orden_seccion,seccion,subtitulo_seccion,grupo,orden_item,item,precio,precio2,nota
1,Entradas,,,1,Rabas,26500,,
1,Entradas,,,2,Calamaretes,31500,,
1,Entradas,,,3,Cornalitos,17500,,
1,Entradas,,,4,Empanada de lisa,1800,,
1,Entradas,,,5,Empanada de mariscos,2000,,
1,Entradas,,,6,Empanada de atún,2000,,
1,Entradas,,,7,Empanada de carne,1800,,
1,Entradas,,,8,Copa de langostinos,30000,,
1,Entradas,,,9,Copa de camarones,32500,,
1,Entradas,,,10,Picada de mariscos p/ 2 personas,41000,,
1,Entradas,,,11,Picada de mariscos p/ 4 personas,75000,,
1,Entradas,,,12,Mayonesa de ave,12000,,
1,Entradas,,,13,Mayonesa de atún,12000,,
1,Entradas,,,14,Ensalada rusa,12000,,
1,Entradas,,,15,Lengua a la vinagreta,12000,,
1,Entradas,,,16,Provoleta,13000,,
1,Entradas,,,17,Pescado en escabeche,12000,,
2,Ensaladas,,,1,Clásicas (2 ingredientes a elección),6500,,"Lechuga, tomate, zanahoria, remolacha, radicheta, cebolla, huevo"
2,Ensaladas,,,2,Papa y Huevo,6500,,
2,Ensaladas,,,3,Rúcula y Parmesano,7500,,
2,Ensaladas,,,4,Mixta,7500,,
2,Ensaladas,,,5,Completa,8500,,
2,Ensaladas,,,6,Mediterránea (2 personas),11000,,"Rúcula, tomate cherry, aceituna negra, choclo y palmitos"
2,Ensaladas,,,7,Caesar (2 personas),11000,,"Lechuga, parmesano, mayonesa, crema de anchoas, croutones y pollo"
2,Ensaladas,,,8,Natural (2 personas),11000,,"Espárragos, palmitos, tomate, zanahoria, champignon, rúcula"
2,Ensaladas,,,9,Tibia de langostinos (2 personas),14500,,"Langostino, papa, rúcula, jamón crudo, tomate, muzzarela y aceituna negra"
2,Ensaladas,,,10,Ensalada El Delfín (2 personas),16000,,"Camarón, mejillón, berberecho, kanikama, almeja, calamar y verduras"
2,Ensaladas,,,11,Ensalada Marina (2 personas),16000,,"Rúcula, ajo y oliva, jibia, mejillón, calamar, papa"
2,Ensaladas,,,12,Ensalada Ernestina,11000,,"Lechuga, tomate, zanahoria, choclo, palmito, jamón"
3,Pastas Caseras,,,1,Tallarines,9900,,
3,Pastas Caseras,,,2,Ñoquis,9900,,
3,Pastas Caseras,,,3,Ravioles,10400,,
3,Pastas Caseras,,,4,Lasagnas,12000,,
3,Pastas Caseras,,,5,Canelones,12000,,
3,Pastas Caseras,,,6,Sorrentinos,11900,,
3,Pastas Caseras,,,7,Sorrentinos Gran Delfín,19500,,
3,Pastas Caseras,,,8,Tallarines con Calamar,17500,,
3,Pastas Caseras,,,9,Tallarines con Mariscos,20500,,
3,Pastas Caseras,,,10,Cintas negras Gran Delfín,20500,,
3,Pastas Caseras,,,11,Mix de sorrentinos,12500,,"3 variedades: verdes, de calabaza y de jamón y queso"
4,Salsas,Para acompañar las pastas caseras,,1,"Tuco, Manteca, Salsa Blanca",5000,,
4,Salsas,,,2,"Mixta, Crema, Bolognesa",7000,,
4,Salsas,,,3,Pesto,5900,,
4,Salsas,,,4,Parissiene,7900,,"Crema, jamón cocido, pollo y champignones"
4,Salsas,,,5,Scarparo,7900,,"Salsa rosa, jamón cocido, pollo, champignones"
